area,type,year,housePrice,income
Bath,City,2021,363000,30165
Bath,City,2022,370000,32251
Bath,City,2023,382000,34584
Bedford,City,2021,295000,29403
Bedford,City,2022,310000,33190
Bedford,City,2023,322500,33539
Birmingham,City,2021,205000,31987
Birmingham,City,2022,211500,34147
Birmingham,City,2023,223000,34037
Blackpool,City,2021,125000,28430
Blackpool,City,2022,128750,26872
Blackpool,City,2023,132500,30456
Bradford,City,2021,155000,28939
Bradford,City,2022,150000,30879
Bradford,City,2023,158500,31698
Breckland,City,2021,250000,26611
Breckland,City,2022,262750,27912
Breckland,City,2023,265000,31668
Brighton and Hove,City,2021,405000,32037
Brighton and Hove,City,2022,411500,31980
Brighton and Hove,City,2023,430000,34876
Bristol,City,2021,313000,32287
Bristol,City,2022,330000,34446
Bristol,City,2023,350000,36129
Cambridge,City,2021,450000,35634
Cambridge,City,2022,475000,35863
Cambridge,City,2023,494000,39930
Canterbury,City,2021,340000,26515
Canterbury,City,2022,344000,33116
Canterbury,City,2023,350000,32860
Cardiff,City,2021,235000,29539
Cardiff,City,2022,246000,33106
Cardiff,City,2023,253100,34049
Chelmsford,City,2021,376000,31913
Chelmsford,City,2022,385000,31511
Chelmsford,City,2023,395000,34778
Chichester,City,2021,410000,28001
Chichester,City,2022,422000,31554
Chichester,City,2023,435000,31817
Colchester,City,2021,300000,29098
Colchester,City,2022,305000,31366
Colchester,City,2023,320000,33962
Coventry,City,2021,200000,33313
Coventry,City,2022,210000,33715
Coventry,City,2023,220000,39491
Derby,City,2021,180000,36330
Derby,City,2022,188000,36023
Derby,City,2023,197500,39431
Doncaster,City,2021,150000,26937
Doncaster,City,2022,150000,28887
Doncaster,City,2023,155000,30997
Exeter,City,2021,270000,29860
Exeter,City,2022,285000,31860
Exeter,City,2023,300000,33375
Gloucester,City,2021,220000,29840
Gloucester,City,2022,230000,30155
Gloucester,City,2023,242000,32936
Lancaster,City,2021,180000,28111
Lancaster,City,2022,179950,30183
Lancaster,City,2023,185000,30575
Leeds,City,2021,216000,30583
Leeds,City,2022,215000,32690
Leeds,City,2023,227000,34354
Leicester,City,2021,210000,27488
Leicester,City,2022,221000,29242
Leicester,City,2023,230000,30770
Lichfield,City,2021,273000,26436
Lichfield,City,2022,285000,26374
Lichfield,City,2023,292500,32742
Lincoln,City,2021,170500,28493
Lincoln,City,2022,175000,30453
Lincoln,City,2023,180000,33072
Liverpool,City,2021,155000,30574
Liverpool,City,2022,151500,32000
Liverpool,City,2023,160000,34515
Manchester,City,2021,210000,31435
Manchester,City,2022,222500,34233
Manchester,City,2023,229975,37175
Milton Keynes,City,2021,305000,32661
Milton Keynes,City,2022,308500,35248
Milton Keynes,City,2023,322750,39623
Newcastle upon Tyne,City,2021,172500,27733
Newcastle upon Tyne,City,2022,170000,27092
Newcastle upon Tyne,City,2023,178000,31332
Newport,City,2021,194475,36668
Newport,City,2022,200000,39781
Newport,City,2023,210000,39724
Norwich,City,2021,217250,30450
Norwich,City,2022,226000,29217
Norwich,City,2023,235000,31997
Nottingham,City,2021,165000,27979
Nottingham,City,2022,175000,29156
Nottingham,City,2023,186000,30151
Oxford,City,2021,425000,35762
Oxford,City,2022,440000,37574
Oxford,City,2023,450000,38846
Peterborough,City,2021,215000,29937
Peterborough,City,2022,220000,31396
Peterborough,City,2023,233000,33425
Plymouth,City,2021,195000,26759
Plymouth,City,2022,205000,29152
Plymouth,City,2023,210625,33004
Portsmouth,City,2021,236000,31851
Portsmouth,City,2022,250000,34136
Portsmouth,City,2023,260000,35245
Salford,City,2021,195000,29219
Salford,City,2022,210000,32356
Salford,City,2023,215000,33854
Sheffield,City,2021,185000,29607
Sheffield,City,2022,188000,30000
Sheffield,City,2023,205000,32603
Southampton,City,2021,234000,31365
Southampton,City,2022,249950,33968
Southampton,City,2023,252000,35735
St Albans,City,2021,580000,32899
St Albans,City,2022,620000,34174
St Albans,City,2023,628250,36353
Stoke-on-Trent,City,2021,131000,28348
Stoke-on-Trent,City,2022,135000,29489
Stoke-on-Trent,City,2023,140000,30656
Sunderland,City,2021,135000,26820
Sunderland,City,2022,130000,28160
Sunderland,City,2023,130000,30129
Swansea,City,2021,172500,28672
Swansea,City,2022,180000,30258
Swansea,City,2023,180000,32016
Wakefield,City,2021,167500,28265
Wakefield,City,2022,170150,29586
Wakefield,City,2023,180000,32844
Westminster,City,2021,1031000,45000
Westminster,City,2022,910000,46200
Westminster,City,2023,925000,47500
Winchester,City,2021,480000,33592
Winchester,City,2022,475000,34557
Winchester,City,2023,495000,37149
Wolverhampton,City,2021,175000,28441
Wolverhampton,City,2022,185000,30380
Wolverhampton,City,2023,196000,31767
Worcester,City,2021,225000,27978
Worcester,City,2022,230000,33108
Worcester,City,2023,249000,33891
Wrexham,City,2021,170000,28552
Wrexham,City,2022,181000,30953
Wrexham,City,2023,175000,32921
York,City,2021,270000,32501
York,City,2022,290000,33077
York,City,2023,300000,34109
